Iteration,RMS_px,Parameters
106,7.960494999097684,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051638221 -47.7146169594  36.796395542   48.2862412673
 -42.3900664898]"
107,7.947915963389843,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051580183 -47.7146241802  36.7963909958  48.2862387939
 -42.3900630954]"
108,7.943593435111085,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051591159 -47.7146228046  36.7963918749  48.2862392118
 -42.3900638008]"
109,7.938575184220632,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905159506  -47.7146222949  36.7963922221  48.2862392723
 -42.3900641652]"
110,7.932954075218256,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051570523 -47.7146253605  36.7963903579  48.2862381154
 -42.3900628605]"
111,7.922527066208212,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905150817  -47.7146331731  36.7963856014  48.2862352136
 -42.3900594875]"
112,7.91174114257537,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051414664 -47.7146449434  36.7963784076  48.2862310215
 -42.390054215 ]"
113,7.902883335522388,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051358216 -47.7146520887  36.7963740426  48.2862285557
 -42.3900509375]"
114,7.894241314986997,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051284805 -47.7146614584  36.7963683788  48.2862253651
 -42.3900466248]"
115,7.8892964573461,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051229469 -47.7146685778  36.79636414    48.2862229328
 -42.3900433855]"
116,7.885022584684675,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051229089 -47.7146687077  36.7963641437  48.2862228907
 -42.3900433617]"
117,7.879840026593629,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051219641 -47.7146701169  36.7963635026  48.2862224077
 -42.3900428145]"
118,7.8764534461960425,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051210912 -47.7146714018  36.7963628917  48.2862219914
 -42.3900422802]"
119,7.86879919134106,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051155316 -47.7146792017  36.7963588537  48.2862194442
 -42.3900389037]"
